name_a,name_b,co_purchases
Atomic Habits,Product 186,16
Atomic Habits,Product 87,16
Electric Kettle,Product 144,16
Product 68,Product 178,16
LED Desk Lamp,Product 133,16
Product 121,Product 139,15
Running Shorts,Electric Kettle,15
Product 67,Product 87,15
Product 55,Product 137,15
The Pragmatic Programmer,Product 81,15
Product 84,Product 116,15
Product 85,Product 199,15
Product 80,Product 144,15
Product 116,Product 179,15
Electric Kettle,Product 143,15
Electric Kettle,Product 149,15
Running Shoes,Product 113,15
Electric Kettle,Product 53,15
Product 68,Product 173,15
Mechanical Keyboard,Product 197,15
