order_year,order_month,num_orders,revenue,avg_order_value,period
2022,1,794,13195574.47,16619.111423173803,2022-01
2022,2,722,12164332.685,16848.10621191136,2022-02
2022,3,795,14049606.3,17672.460754716984,2022-03
2022,4,771,13359129.135,17327.01573929961,2022-04
2022,5,803,13968114.115,17394.91172478207,2022-05
2022,6,712,12611233.07,17712.40599719101,2022-06
2022,7,826,14296331.92,17307.90789346247,2022-07
2022,8,784,13252625.42,16903.858954081632,2022-08
2022,9,717,11760637.75,16402.563110181312,2022-09
2022,10,767,13286561.675,17322.76619947849,2022-10
2022,11,785,13444252.47,17126.436267515925,2022-11
2022,12,737,12930462.77,17544.725603799187,2022-12
2023,1,803,13757022.55,17132.03306351183,2023-01
2023,2,747,13023434.785,17434.316981258366,2023-02
2023,3,752,12933498.03,17198.80057180851,2023-03
2023,4,769,13234840.015,17210.455156046813,2023-04
2023,5,806,13979111.925,17343.811321339952,2023-05
2023,6,762,13869930.19,18202.00812335958,2023-06
2023,7,759,12863386.335,16947.808083003954,2023-07
2023,8,826,13897467.125,16825.020732445522,2023-08
2023,9,767,13252842.555,17278.80385267275,2023-09
2023,10,850,14592424.56,17167.558305882354,2023-10
2023,11,771,13392265.44,17369.994085603113,2023-11
2023,12,788,14121379.345,17920.532163705586,2023-12
