product_name,category,revenue,units_sold,num_orders
Badminton Set #155,Sports,2526858.84,378,192
Storage Box #285,Home & Kitchen,2512870.3,401,192
Blender #234,Home & Kitchen,2464004.46,368,184
Comic #286,Books,2438135.44,372,182
Novel #70,Books,2425092.04,361,174
Lego Set #16,Toys,2399019.5,370,185
Dress #163,Clothing,2379734.76,366,177
Blender #58,Home & Kitchen,2377598.77,386,189
Smartwatch #296,Electronics,2335328.39,364,177
Dress #168,Clothing,2323332.04,382,193
Smartwatch #290,Electronics,2286988.94,332,164
Dumbbells #282,Sports,2286174.59,359,180
Laptop #232,Electronics,2253933.18,361,173
Earbuds #212,Electronics,2243627.9,341,178
Dumbbells #28,Sports,2240973.6,401,198
